"Hole_Id","Project_Id","Easting","Northing","Elevation","Td","CAMPANA","Drill_Type","Start_Date","End_Date","HL_MOD2025","Collar_Type","Start_Year"
"AD23-0559","QE",327671.06400000,8108333.71700000,3569.49400000,60.00000000,"AD2023","RC",15/9/2023 00:00:00,15/9/2023 00:00:00,1,"DDH",2023
"AD23-0560","QE",327660.24800000,8108340.00900000,3569.50400000,60.00000000,"AD2023","RC",15/9/2023 00:00:00,15/9/2023 00:00:00,1,"DDH",2023
"AD23-0562","QE",327639.98300000,8108320.16900000,3569.52300000,60.00000000,"AD2023","RC",16/9/2023 00:00:00,16/9/2023 00:00:00,1,"DDH",2023
"AD23-0563","QE",327659.97200000,8108319.97400000,3569.33400000,54.00000000,"AD2023","RC",16/9/2023 00:00:00,16/9/2023 00:00:00,1,"DDH",2023
"AD23-0775","QE",326999.80000000,8108371.00000000,3479.62200000,30.00000000,"AD2023","RC",1/11/2023 00:00:00,3/11/2023 00:00:00,1,"DDH",2023
"AD23-0841","QE",326758.30400000,8108280.15000000,3564.24700000,60.00000000,"AD2023","RC",20/9/2023 00:00:00,20/9/2023 00:00:00,1,"DDH",2023
"AD23-0842","QE",326774.41600000,8108280.64800000,3563.34400000,60.00000000,"AD2023","RC",22/9/2023 00:00:00,22/9/2023 00:00:00,1,"DDH",2023
"AD23-0923","QE",326820.03900000,8108160.19900000,3575.21200000,60.00000000,"AD2023","RC",19/9/2023 00:00:00,19/9/2023 00:00:00,1,"DDH",2023
"AD23-0928","QE",326820.06100000,8108179.82000000,3573.59300000,60.00000000,"AD2023","RC",19/9/2023 00:00:00,19/9/2023 00:00:00,1,"DDH",2023
"AD23-0929","QE",326800.18600000,8108200.07100000,3571.03200000,60.00000000,"AD2023","RC",18/9/2023 00:00:00,18/9/2023 00:00:00,1,"DDH",2023
"AD23-0930","QE",326820.15400000,8108200.05500000,3571.75700000,60.00000000,"AD2023","RC",18/9/2023 00:00:00,18/9/2023 00:00:00,1,"DDH",2023
"AD23-0934","QE",326800.06000000,8108220.02800000,3569.38400000,60.00000000,"AD2023","RC",18/9/2023 00:00:00,18/9/2023 00:00:00,1,"DDH",2023
"AD23-0935","QE",326780.31100000,8108240.05000000,3566.96400000,60.00000000,"AD2023","RC",21/9/2023 00:00:00,21/9/2023 00:00:00,1,"DDH",2023
"AD23-0940","QE",326773.77100000,8108259.21900000,3565.21000000,60.00000000,"AD2023","RC",21/9/2023 00:00:00,21/9/2023 00:00:00,1,"DDH",2023
"AD23-0941","QE",326761.35000000,8108260.12200000,3565.43300000,60.00000000,"AD2023","RC",20/9/2023 00:00:00,21/9/2023 00:00:00,1,"DDH",2023
"AD23-0944","QE",326760.25200000,8108300.01100000,3563.15300000,60.00000000,"AD2023","RC",20/9/2023 00:00:00,20/9/2023 00:00:00,1,"DDH",2023
"AD23-0949","QE",326820.20500000,8108140.18300000,3576.79300000,60.00000000,"AD2023","RC",19/9/2023 00:00:00,19/9/2023 00:00:00,1,"DDH",2023
"AD23-0950","QE",326824.56100000,8108120.20100000,3578.84500000,60.00000000,"AD2023","RC",19/9/2023 00:00:00,19/9/2023 00:00:00,1,"DDH",2023
"AD23-0951","QE",326828.90800000,8108101.39800000,3580.91100000,60.00000000,"AD2023","RC",19/9/2023 00:00:00,20/9/2023 00:00:00,1,"DDH",2023
"AD23-0972","QE",327640.28500000,8108339.80300000,3569.55700000,60.00000000,"AD2023","RC",15/9/2023 00:00:00,15/9/2023 00:00:00,1,"DDH",2023
"AD23-1084","QE",326840.50000000,8108500.10000000,3494.34000000,57.00000000,"AD2023","RC",24/10/2023 00:00:00,30/10/2023 00:00:00,1,"DDH",2023
"AD23-1171","QE",326855.10000000,8108598.00000000,3480.09000000,60.00000000,"AD2023","RC",7/11/2023 00:00:00,7/11/2023 00:00:00,1,"DDH",2023
"AD23-1172","QE",326840.00000000,8108589.00000000,3479.98100000,60.00000000,"AD2023","RC",8/11/2023 00:00:00,8/11/2023 00:00:00,1,"DDH",2023
"AD23-1173","QE",326817.46500000,8108603.00600000,3479.77500000,60.00000000,"AD2023","RC",11/11/2023 00:00:00,12/11/2023 00:00:00,1,"DDH",2023
"AD23-1174","QE",326879.28300000,8108588.74600000,3479.96400000,60.00000000,"AD2023","RC",10/11/2023 00:00:00,11/11/2023 00:00:00,1,"DDH",2023
"AD23-1175","QE",326856.46900000,8108574.95800000,3480.17700000,60.00000000,"AD2023","RC",9/11/2023 00:00:00,10/11/2023 00:00:00,1,"DDH",2023
"AD24-0001","QE",326528.98100000,8108920.77500000,3584.00100000,90.00000000,"AD2024","RC",21/6/2024 00:00:00,22/6/2024 00:00:00,1,"DDH",2024
"AD24-0002","QE",326521.19800000,8108939.87000000,3583.85800000,90.00000000,"AD2024","RC",21/6/2024 00:00:00,21/6/2024 00:00:00,1,"DDH",2024
"AD24-0005","QE",326538.20300000,8108968.03700000,3586.01500000,75.00000000,"AD2024","RC",24/6/2024 00:00:00,25/6/2024 00:00:00,1,"DDH",2024
"AD24-0006","QE",326543.97600000,8108918.71500000,3583.24800000,90.00000000,"AD2024","RC",22/6/2024 00:00:00,22/6/2024 00:00:00,1,"DDH",2024
"AD24-0008","QE",326561.13400000,8108920.84000000,3582.05500000,90.00000000,"AD2024","RC",22/6/2024 00:00:00,22/6/2024 00:00:00,1,"DDH",2024
"AD24-0009","QE",326554.26000000,8108931.41800000,3582.18500000,90.00000000,"AD2024","RC",24/6/2024 00:00:00,24/6/2024 00:00:00,1,"DDH",2024
"AD24-0010","QE",326581.78800000,8108985.70000000,3589.78600000,75.00000000,"AD2024","RC",21/6/2024 00:00:00,21/6/2024 00:00:00,1,"DDH",2024
"AD24-0011","QE",326604.29100000,8108982.36300000,3592.16300000,75.00000000,"AD2024","RC",21/6/2024 00:00:00,21/6/2024 00:00:00,1,"DDH",2024
"AD24-0012","QE",326710.04700000,8108918.41700000,3568.22100000,60.00000000,"AD2024","RC",6/3/2024 00:00:00,7/3/2024 00:00:00,1,"DDH",2024
"AD24-0013","QE",326623.55000000,8108939.55800000,3576.09400000,60.00000000,"AD2024","RC",4/3/2024 00:00:00,4/3/2024 00:00:00,1,"DDH",2024
"AD24-0014","QE",326646.26500000,8108936.65900000,3574.08700000,60.00000000,"AD2024","RC",4/3/2024 00:00:00,5/3/2024 00:00:00,1,"DDH",2024
"AD24-0015","QE",326723.59200000,8108913.20300000,3566.56200000,60.00000000,"AD2024","RC",7/3/2024 00:00:00,7/3/2024 00:00:00,1,"DDH",2024
"AD24-0020","QE",326739.60700000,8108908.66000000,3564.87200000,60.00000000,"AD2024","RC",8/3/2024 00:00:00,8/3/2024 00:00:00,1,"DDH",2024
"AD24-0021","QE",326759.46700000,8108903.67100000,3562.82400000,60.00000000,"AD2024","RC",8/3/2024 00:00:00,8/3/2024 00:00:00,1,"DDH",2024
"AD24-0025","QE",326776.75000000,8108899.05100000,3559.78400000,60.00000000,"AD2024","RC",9/3/2024 00:00:00,9/3/2024 00:00:00,1,"DDH",2024
"AD24-0026","QE",326815.20000000,8108889.13000000,3556.63500000,60.00000000,"AD2024","RC",9/3/2024 00:00:00,10/3/2024 00:00:00,1,"DDH",2024
"AD24-0027","QE",326829.38200000,8108883.65600000,3556.33300000,60.00000000,"AD2024","RC",11/3/2024 00:00:00,11/3/2024 00:00:00,1,"DDH",2024
"AD24-0028","QE",326792.45700000,8108896.48500000,3559.91200000,60.00000000,"AD2024","RC",9/3/2024 00:00:00,9/3/2024 00:00:00,1,"DDH",2024
"AD24-0030","QE",326667.28300000,8108993.08800000,3598.22800000,60.00000000,"AD2024","RC",11/3/2024 00:00:00,11/3/2024 00:00:00,1,"DDH",2024
"AD24-0032","QE",326720.44300000,8108986.19000000,3602.96400000,60.00000000,"AD2024","RC",12/3/2024 00:00:00,12/3/2024 00:00:00,1,"DDH",2024
"AD24-0034","QE",326755.10700000,8108983.30900000,3606.33300000,60.00000000,"AD2024","RC",12/3/2024 00:00:00,12/3/2024 00:00:00,1,"DDH",2024
