X,Y,ID
327082.74,8108503.699,AD2024
327082.613,8108487.484,AD2024
327081.335,8108473.597,AD2024
327281.628,8108490.251,AD2024
327297.159,8108489.466,AD2024
327057.774,8108551.219,AD2024
327043.212,8108544.606,AD2024
327033.621,8108563.813,AD2024
327023.725,8108564.802,AD2024
327063.805,8108525.468,AD2024
326815.447,8108681.812,AD2024
327022.379,8108581.56,AD2024
327039.324,8108586.002,AD2024
327051.248,8108588.674,AD2024
327166.286,8108545.191,AD2024
327132.527,8108570.533,AD2024
327142.339,8108594.283,AD2024
327120.011,8108597.246,AD2024
327102.803,8108591.695,AD2024
326982.125,8108599.048,AD2024
326825.404,8108686.688,AD2024
326821.862,8108677.311,AD2024
326831.143,8108681.681,AD2024
327143.249,8108551.489,AD2024
327120.19,8108561.34,AD2024
327158.124,8108581.938,AD2024
327143.385,8108584.636,AD2024
327201.44,8107760.277,AD2024
327184.191,8107759.437,AD2024
327280.144,8107743.803,AD2024
327260.246,8107738.431,AD2024
327241.088,8107733.98,AD2024
327220.803,8107733.882,AD2024
327202.728,8107741.784,AD2024
327187.761,8107739.55,AD2024
327197.551,8107720.971,AD2024
327187.307,8107721.205,AD2024
327339.121,8108923.031,AD2024
327319.982,8108919.981,AD2024
327300.112,8108939.455,AD2024
327319.412,8108939.679,AD2024
327361.444,8108901.426,AD2024
327380.45,8108901.234,AD2024
327378.071,8108922.763,AD2024
326580.471,8108938.473,AD2024
326602.551,8108942.129,AD2024
327142.835,8107859.128,AD2024
327141.23,8107840.976,AD2024
327159.917,8107821.024,AD2024
327159.41,8107837.391,AD2024
327159.226,8107858.231,AD2024
327479.899,8108938.198,AD2024
326800.689,8108679.411,AD2024
326803.296,8108661.264,AD2024
326801.871,8108641.66,AD2024
326798.465,8108621.072,AD2024
326796.619,8108600.36,AD2024
326820.932,8108619.934,AD2024
326819.47,8108639.342,AD2024
326818.717,8108661.058,AD2024
326978.628,8108480.355,AD2024
326999.299,8108479.578,AD2024
327019.613,8108461.014,AD2024
327020.319,8108480.664,AD2024
327040.627,8108500.11,AD2024
327042.427,8108477.781,AD2024
327039.218,8108458.064,AD2024
327063.438,8108464.343,AD2024
327059.736,8108479.305,AD2024
327060.097,8108499.028,AD2024
326781.218,8108679.985,AD2024
326783.174,8108661.023,AD2024
326780.332,8108641.8,AD2024
326785.166,8108622.131,AD2024
326783.742,8108600.161,AD2024
326743.813,8108664.448,AD2024
326779.518,8109060.59,AD2024
